Time,Number of people
06:46:06,19
Time,Number of people
06:46:17,19
Time,Number of people
06:46:42,19
Time,Number of people
06:46:53,19
Time,Number of people
06:47:39,19
Time,Number of people
06:49:46,19
Time,Number of people
06:51:34,23
Time,Number of people
06:51:39,23
Time,Number of people
06:51:44,23
Time,Number of people
06:51:50,23
Time,Number of people
06:51:55,23
Time,Number of people
06:52:00,23
Time,Number of people
06:52:06,23
Time,Number of people
06:52:11,23
Time,Number of people
06:52:16,23
Time,Number of people
06:52:22,23
Time,Number of people
06:52:27,23
Time,Number of people
06:52:32,23
Time,Number of people
06:52:38,23
Time,Number of people
06:52:43,23
Time,Number of people
06:52:49,23
Time,Number of people
06:52:54,23
Time,Number of people
06:52:59,23
Time,Number of people
07:24:05,26
Time,Number of people
07:54:05,29
Time,Number of people
08:24:06,26
Time,Number of people
09:06:10,20
Time,Number of people
09:56:02,26
Time,Number of people
10:29:38,20
Time,Number of people
10:59:38,25
Time,Number of people
11:29:41,25
Time,Number of people
11:59:42,33
Time,Number of people
12:29:43,37
Time,Number of people
12:59:44,37
Time,Number of people
13:29:48,38
Time,Number of people
13:59:49,47
Time,Number of people
14:29:53,56
Time,Number of people
14:59:54,50
Time,Number of people
15:29:55,102
Time,Number of people
15:59:56,43
Time,Number of people
16:30:12,34
Time,Number of people
17:00:13,32
Time,Number of people
17:30:14,54
Time,Number of people
18:00:16,30
Time,Number of people
18:30:18,76
Time,Number of people
19:00:19,99
Time,Number of people
19:30:20,105
Time,Number of people
20:00:21,62
Time,Number of people
20:30:21,66
Time,Number of people
21:00:23,69
Time,Number of people
21:31:18,50
