Time,Number of people
1,0
Time,Number of people
1,0
Time,Number of people
2,0
Time,Number of people
2,0
Time,Number of people
3,0
Time,Number of people
3,0
Time,Number of people
4,0
Time,Number of people
4,0
Time,Number of people
5,0
Time,Number of people
5,0
Time,Number of people
6,0
Time,Number of people
6,0
Time,Number of people
7,0
Time,Number of people
7,0
Time,Number of people
8,0
Time,Number of people
8,38
Time,Number of people
9,49
Time,Number of people
9,56
Time,Number of people
10,76
Time,Number of people
10,81
Time,Number of people
11,91
Time,Number of people
11,92
Time,Number of people
12,78
Time,Number of people
12,70
Time,Number of people
13,70
Time,Number of people
13,43
Time,Number of people
14,44
Time,Number of people
14,57
Time,Number of people
15,55
Time,Number of people
15,81
Time,Number of people
16,82
Time,Number of people
16,101
Time,Number of people
17,103
Time,Number of people
17,108
Time,Number of people
18,96
Time,Number of people
18,94
Time,Number of people
19,86
Time,Number of people
19,79
Time,Number of people
20,80
Time,Number of people
20,49
Time,Number of people
21,0
Time,Number of people
21,0
Time,Number of people
22,0
Time,Number of people
22,0
Time,Number of people
23,0
Time,Number of people
23,0
Time,Number of people
24,0
Time,Number of people
24,0
Time,Number of people
1,0
Time,Number of people
1,0
Time,Number of people
2,0
Time,Number of people
2,0
Time,Number of people
3,0
Time,Number of people
3,0
Time,Number of people
4,0
Time,Number of people
4,0
Time,Number of people
5,0
Time,Number of people
5,0
Time,Number of people
6,0
Time,Number of people
6,0
Time,Number of people
7,0
Time,Number of people
7,0
Time,Number of people
8,24
Time,Number of people
8,50
Time,Number of people
9,45
Time,Number of people
9,40
Time,Number of people
10,75
Time,Number of people
10,92
Time,Number of people
11,87
Time,Number of people
11,83
Time,Number of people
12,77
Time,Number of people
12,71
Time,Number of people
13,59
Time,Number of people
13,53
Time,Number of people
14,63
Time,Number of people
14,69
Time,Number of people
15,68
Time,Number of people
15,65
Time,Number of people
16,68
Time,Number of people
16,77
Time,Number of people
17,90
Time,Number of people
17,105
Time,Number of people
18,106
Time,Number of people
18,70
Time,Number of people
19,58
Time,Number of people
19,74
Time,Number of people
20,61
Time,Number of people
20,29
Time,Number of people
21,0
Time,Number of people
21,0
Time,Number of people
22,0
Time,Number of people
22,0
Time,Number of people
23,0
Time,Number of people
23,0
Time,Number of people
24,0
Time,Number of people
24,0
Time,Number of people
1,0
Time,Number of people
1,0
Time,Number of people
2,0
Time,Number of people
2,0
Time,Number of people
3,0
Time,Number of people
3,0
Time,Number of people
4,0
Time,Number of people
4,0
Time,Number of people
5,0
Time,Number of people
5,0
Time,Number of people
6,0
Time,Number of people
6,0
Time,Number of people
7,0
Time,Number of people
7,0
Time,Number of people
8,0
Time,Number of people
8,39
Time,Number of people
9,55
Time,Number of people
9,45
Time,Number of people
10,48
Time,Number of people
10,64
Time,Number of people
11,85
Time,Number of people
11,55
Time,Number of people
12,61
Time,Number of people
12,56
Time,Number of people
13,80
Time,Number of people
13,93
Time,Number of people
14,80
Time,Number of people
14,64
Time,Number of people
15,71
Time,Number of people
15,92
Time,Number of people
16,82
Time,Number of people
16,96
Time,Number of people
17,98
Time,Number of people
17,79
Time,Number of people
18,83
Time,Number of people
18,89
Time,Number of people
19,94
Time,Number of people
19,86
Time,Number of people
20,85
Time,Number of people
20,65
Time,Number of people
21,20
Time,Number of people
21,0
Time,Number of people
22,0
Time,Number of people
22,0
Time,Number of people
23,0
Time,Number of people
23,0
Time,Number of people
24,0
Time,Number of people
24,0
Time,Number of people
1,0
Time,Number of people
1,0
Time,Number of people
2,0
Time,Number of people
2,0
Time,Number of people
3,0
Time,Number of people
3,0
Time,Number of people
4,0
Time,Number of people
4,0
Time,Number of people
5,0
Time,Number of people
5,0
Time,Number of people
6,0
Time,Number of people
6,0
Time,Number of people
7,0
Time,Number of people
7,0
Time,Number of people
8,29
Time,Number of people
8,52
Time,Number of people
9,68
Time,Number of people
9,64
Time,Number of people
10,68
Time,Number of people
10,68
Time,Number of people
11,77
Time,Number of people
11,57
Time,Number of people
12,47
Time,Number of people
12,49
Time,Number of people
13,49
Time,Number of people
13,39
Time,Number of people
14,44
Time,Number of people
14,50
Time,Number of people
15,54
Time,Number of people
15,74
Time,Number of people
16,59
Time,Number of people
16,63
Time,Number of people
17,83
Time,Number of people
17,84
Time,Number of people
18,95
Time,Number of people
18,79
Time,Number of people
19,81
Time,Number of people
19,70
Time,Number of people
20,65
Time,Number of people
20,37
Time,Number of people
21,0
Time,Number of people
21,0
Time,Number of people
22,0
Time,Number of people
22,0
Time,Number of people
23,0
Time,Number of people
23,0
Time,Number of people
24,0
Time,Number of people
24,0
