Time,Number of people
1,0
Time,Number of people
1,0
Time,Number of people
2,0
Time,Number of people
2,0
Time,Number of people
3,0
Time,Number of people
3,0
Time,Number of people
4,0
Time,Number of people
4,0
Time,Number of people
5,0
Time,Number of people
5,0
Time,Number of people
6,0
Time,Number of people
6,0
Time,Number of people
7,0
Time,Number of people
7,0
Time,Number of people
8,0
Time,Number of people
8,42
Time,Number of people
9,48
Time,Number of people
9,51
Time,Number of people
10,86
Time,Number of people
10,87
Time,Number of people
11,90
Time,Number of people
11,89
Time,Number of people
12,85
Time,Number of people
12,82
Time,Number of people
13,73
Time,Number of people
13,59
Time,Number of people
14,80
Time,Number of people
14,65
Time,Number of people
15,89
Time,Number of people
15,83
Time,Number of people
16,77
Time,Number of people
16,94
Time,Number of people
17,88
Time,Number of people
17,72
Time,Number of people
18,74
Time,Number of people
18,68
Time,Number of people
19,88
Time,Number of people
19,112
Time,Number of people
20,91
Time,Number of people
20,59
Time,Number of people
21,0
Time,Number of people
21,0
Time,Number of people
22,0
Time,Number of people
22,0
Time,Number of people
23,0
Time,Number of people
23,0
Time,Number of people
24,0
Time,Number of people
24,0
Time,Number of people
1,0
Time,Number of people
1,0
Time,Number of people
2,0
Time,Number of people
2,0
Time,Number of people
3,0
Time,Number of people
3,0
Time,Number of people
4,0
Time,Number of people
4,0
Time,Number of people
5,0
Time,Number of people
5,0
Time,Number of people
6,0
Time,Number of people
6,0
Time,Number of people
7,0
Time,Number of people
7,0
Time,Number of people
8,25
Time,Number of people
8,49
Time,Number of people
9,60
Time,Number of people
9,65
Time,Number of people
10,70
Time,Number of people
10,62
Time,Number of people
11,82
Time,Number of people
11,92
Time,Number of people
12,101
Time,Number of people
12,79
Time,Number of people
13,56
Time,Number of people
13,55
Time,Number of people
14,61
Time,Number of people
14,62
Time,Number of people
15,64
Time,Number of people
15,79
Time,Number of people
16,79
Time,Number of people
16,85
Time,Number of people
17,94
Time,Number of people
17,92
Time,Number of people
18,99
Time,Number of people
18,105
Time,Number of people
19,90
Time,Number of people
19,103
Time,Number of people
20,104
Time,Number of people
20,63
Time,Number of people
21,0
Time,Number of people
21,0
Time,Number of people
22,0
Time,Number of people
22,0
Time,Number of people
23,0
Time,Number of people
23,0
Time,Number of people
24,0
Time,Number of people
24,0
Time,Number of people
1,0
Time,Number of people
1,0
Time,Number of people
2,0
Time,Number of people
2,0
Time,Number of people
3,0
Time,Number of people
3,0
Time,Number of people
4,0
Time,Number of people
4,0
Time,Number of people
5,0
Time,Number of people
5,0
Time,Number of people
6,0
Time,Number of people
6,0
Time,Number of people
7,0
Time,Number of people
7,0
Time,Number of people
8,0
Time,Number of people
8,31
Time,Number of people
9,65
Time,Number of people
9,64
Time,Number of people
10,73
Time,Number of people
10,76
Time,Number of people
11,84
Time,Number of people
11,86
Time,Number of people
12,61
Time,Number of people
12,68
Time,Number of people
13,69
Time,Number of people
13,75
Time,Number of people
14,78
Time,Number of people
14,87
Time,Number of people
15,91
Time,Number of people
15,85
Time,Number of people
16,78
Time,Number of people
16,76
Time,Number of people
17,67
Time,Number of people
17,102
Time,Number of people
18,99
Time,Number of people
18,98
Time,Number of people
19,93
Time,Number of people
19,77
Time,Number of people
20,77
Time,Number of people
20,56
Time,Number of people
21,0
Time,Number of people
21,0
Time,Number of people
22,0
Time,Number of people
22,0
Time,Number of people
23,0
Time,Number of people
23,0
Time,Number of people
24,0
Time,Number of people
24,0
Time,Number of people
1,0
Time,Number of people
1,0
Time,Number of people
2,0
Time,Number of people
2,0
Time,Number of people
3,0
Time,Number of people
3,0
Time,Number of people
4,0
Time,Number of people
4,0
Time,Number of people
5,0
Time,Number of people
5,0
Time,Number of people
6,0
Time,Number of people
6,0
Time,Number of people
7,0
Time,Number of people
7,0
Time,Number of people
8,28
Time,Number of people
8,67
Time,Number of people
9,77
Time,Number of people
9,58
Time,Number of people
10,62
Time,Number of people
10,59
Time,Number of people
11,89
Time,Number of people
11,96
Time,Number of people
12,99
Time,Number of people
12,104
Time,Number of people
13,97
Time,Number of people
13,83
Time,Number of people
14,59
Time,Number of people
14,48
Time,Number of people
15,65
Time,Number of people
15,69
Time,Number of people
16,91
Time,Number of people
16,89
Time,Number of people
17,69
Time,Number of people
17,85
Time,Number of people
18,99
Time,Number of people
18,86
Time,Number of people
19,84
Time,Number of people
19,84
Time,Number of people
20,87
Time,Number of people
20,42
Time,Number of people
21,1
Time,Number of people
21,0
Time,Number of people
22,0
Time,Number of people
22,0
Time,Number of people
23,0
Time,Number of people
23,0
Time,Number of people
24,0
Time,Number of people
24,0
