Time,Number of people
14:14:21,54
Time,Number of people
14:44:22,44
Time,Number of people
15:14:23,41
Time,Number of people
15:44:25,35
Time,Number of people
16:14:27,32
Time,Number of people
16:44:27,50
Time,Number of people
17:14:28,60
Time,Number of people
18,102
Time,Number of people
18,124
Time,Number of people
19,101
Time,Number of people
19,101
Time,Number of people
20,60
Time,Number of people
20,60
Time,Number of people
21,58
Time,Number of people
21,52
Time,Number of people
22,14
Time,Number of people
22,0
Time,Number of people
23,0
Time,Number of people
23,0
Time,Number of people
24,0
Time,Number of people
24,0
Time,Number of people
1,0
Time,Number of people
1,0
Time,Number of people
2,0
Time,Number of people
2,0
Time,Number of people
3,0
Time,Number of people
3,0
Time,Number of people
4,0
Time,Number of people
4,0
Time,Number of people
5,0
Time,Number of people
5,0
Time,Number of people
6,4
Time,Number of people
6,23
Time,Number of people
7,29
Time,Number of people
7,40
Time,Number of people
8,44
Time,Number of people
8,37
Time,Number of people
9,38
Time,Number of people
9,26
Time,Number of people
10,22
Time,Number of people
10,33
Time,Number of people
11,31
Time,Number of people
11,34
Time,Number of people
12,53
Time,Number of people
12,63
Time,Number of people
13,56
Time,Number of people
13,38
Time,Number of people
14,45
Time,Number of people
14,55
Time,Number of people
15,38
Time,Number of people
15,38
Time,Number of people
16,34
Time,Number of people
16,56
Time,Number of people
17,64
Time,Number of people
17,72
Time,Number of people
18,88
Time,Number of people
18,95
Time,Number of people
19,91
Time,Number of people
19,84
Time,Number of people
20,70
Time,Number of people
20,62
Time,Number of people
21,55
Time,Number of people
21,31
Time,Number of people
22,0
Time,Number of people
22,0
Time,Number of people
23,0
Time,Number of people
23,0
Time,Number of people
24,0
Time,Number of people
24,0
Time,Number of people
1,0
Time,Number of people
1,0
Time,Number of people
2,0
Time,Number of people
2,0
Time,Number of people
3,0
Time,Number of people
3,0
Time,Number of people
4,0
Time,Number of people
4,0
Time,Number of people
5,0
Time,Number of people
5,0
Time,Number of people
6,18
Time,Number of people
6,37
Time,Number of people
7,48
Time,Number of people
7,46
Time,Number of people
8,46
Time,Number of people
8,39
Time,Number of people
9,32
Time,Number of people
9,21
Time,Number of people
10,27
Time,Number of people
10,42
Time,Number of people
11,58
Time,Number of people
12,63
Time,Number of people
12,70
Time,Number of people
13,65
Time,Number of people
13,50
Time,Number of people
14,51
Time,Number of people
14,42
Time,Number of people
15,44
Time,Number of people
15,35
Time,Number of people
16,41
Time,Number of people
16,88
Time,Number of people
17,87
Time,Number of people
17,61
Time,Number of people
18,74
Time,Number of people
18,93
Time,Number of people
19,106
Time,Number of people
19,110
Time,Number of people
20,98
Time,Number of people
20,78
Time,Number of people
21,71
Time,Number of people
21,48
Time,Number of people
22,17
Time,Number of people
22,0
Time,Number of people
23,0
Time,Number of people
23,0
Time,Number of people
24,0
Time,Number of people
24,0
Time,Number of people
1,0
Time,Number of people
1,0
Time,Number of people
2,0
Time,Number of people
2,0
Time,Number of people
3,0
Time,Number of people
3,0
Time,Number of people
4,0
Time,Number of people
4,0
Time,Number of people
5,0
Time,Number of people
5,0
Time,Number of people
6,19
Time,Number of people
6,38
Time,Number of people
7,42
Time,Number of people
7,47
Time,Number of people
8,30
Time,Number of people
8,24
Time,Number of people
9,32
Time,Number of people
9,43
Time,Number of people
10,40
Time,Number of people
10,30
Time,Number of people
11,31
Time,Number of people
11,33
Time,Number of people
12,38
Time,Number of people
12,53
Time,Number of people
13,49
Time,Number of people
13,50
Time,Number of people
14,51
Time,Number of people
14,49
Time,Number of people
15,37
Time,Number of people
15,38
Time,Number of people
16,50
Time,Number of people
16,44
Time,Number of people
17,53
Time,Number of people
17,64
Time,Number of people
18,85
Time,Number of people
18,102
Time,Number of people
19,111
Time,Number of people
19,108
Time,Number of people
20,109
Time,Number of people
20,84
Time,Number of people
21,84
Time,Number of people
21,55
Time,Number of people
22,13
Time,Number of people
22,0
Time,Number of people
23,0
Time,Number of people
23,0
Time,Number of people
24,0
Time,Number of people
24,0
Time,Number of people
1,0
Time,Number of people
1,0
Time,Number of people
2,0
Time,Number of people
2,0
Time,Number of people
3,0
Time,Number of people
3,0
Time,Number of people
4,0
Time,Number of people
4,0
Time,Number of people
5,0
Time,Number of people
5,0
Time,Number of people
6,12
Time,Number of people
6,24
Time,Number of people
7,29
Time,Number of people
7,27
Time,Number of people
8,31
Time,Number of people
8,22
Time,Number of people
9,32
Time,Number of people
9,37
Time,Number of people
10,43
Time,Number of people
10,42
Time,Number of people
11,33
Time,Number of people
11,29
Time,Number of people
12,57
Time,Number of people
12,70
