Time,Number of people
1,0
Time,Number of people
1,0
Time,Number of people
2,0
Time,Number of people
2,0
Time,Number of people
3,0
Time,Number of people
3,0
Time,Number of people
4,0
Time,Number of people
4,0
Time,Number of people
5,0
Time,Number of people
5,0
Time,Number of people
6,0
Time,Number of people
6,28
Time,Number of people
7,38
Time,Number of people
7,39
Time,Number of people
8,43
Time,Number of people
8,35
Time,Number of people
9,23
Time,Number of people
9,28
Time,Number of people
10,40
Time,Number of people
10,47
Time,Number of people
11,50
Time,Number of people
11,49
Time,Number of people
12,44
Time,Number of people
12,49
Time,Number of people
13,46
Time,Number of people
13,47
Time,Number of people
14,53
Time,Number of people
14,48
Time,Number of people
15,39
Time,Number of people
15,45
Time,Number of people
16,34
Time,Number of people
16,51
Time,Number of people
17,72
Time,Number of people
17,78
Time,Number of people
18,80
Time,Number of people
18,112
Time,Number of people
19,108
Time,Number of people
19,98
Time,Number of people
20,103
Time,Number of people
20,60
Time,Number of people
21,66
Time,Number of people
21,35
Time,Number of people
22,0
Time,Number of people
22,0
Time,Number of people
23,0
Time,Number of people
23,0
Time,Number of people
24,0
Time,Number of people
24,0
Time,Number of people
1,0
Time,Number of people
1,0
Time,Number of people
2,0
Time,Number of people
2,0
Time,Number of people
3,0
Time,Number of people
3,0
Time,Number of people
4,0
Time,Number of people
4,0
Time,Number of people
5,0
Time,Number of people
5,0
Time,Number of people
6,24
Time,Number of people
6,30
Time,Number of people
7,23
Time,Number of people
7,33
Time,Number of people
8,29
Time,Number of people
8,31
Time,Number of people
9,36
Time,Number of people
9,37
Time,Number of people
10,42
Time,Number of people
10,55
Time,Number of people
11,56
Time,Number of people
11,55
Time,Number of people
12,62
Time,Number of people
12,58
Time,Number of people
13,70
Time,Number of people
13,55
Time,Number of people
14,57
Time,Number of people
14,54
Time,Number of people
15,43
Time,Number of people
15,34
Time,Number of people
16,44
Time,Number of people
16,58
Time,Number of people
17,60
Time,Number of people
17,71
Time,Number of people
18,83
Time,Number of people
18,72
Time,Number of people
19,68
Time,Number of people
19,80
Time,Number of people
20,73
Time,Number of people
20,64
Time,Number of people
21,52
Time,Number of people
21,32
Time,Number of people
22,0
Time,Number of people
22,0
Time,Number of people
23,0
Time,Number of people
23,0
Time,Number of people
24,0
Time,Number of people
24,0
Time,Number of people
1,0
Time,Number of people
1,0
Time,Number of people
2,0
Time,Number of people
2,0
Time,Number of people
3,0
Time,Number of people
3,0
Time,Number of people
4,0
Time,Number of people
4,0
Time,Number of people
5,0
Time,Number of people
5,0
Time,Number of people
6,0
Time,Number of people
6,38
Time,Number of people
7,41
Time,Number of people
7,29
Time,Number of people
8,30
Time,Number of people
8,33
Time,Number of people
9,30
Time,Number of people
9,30
Time,Number of people
10,28
Time,Number of people
10,32
Time,Number of people
11,40
Time,Number of people
11,50
Time,Number of people
12,68
Time,Number of people
12,71
Time,Number of people
13,55
Time,Number of people
13,47
Time,Number of people
14,52
Time,Number of people
14,43
Time,Number of people
15,34
Time,Number of people
15,35
Time,Number of people
16,47
Time,Number of people
16,45
Time,Number of people
17,53
Time,Number of people
17,65
Time,Number of people
18,69
Time,Number of people
18,90
Time,Number of people
19,120
Time,Number of people
19,94
Time,Number of people
20,90
Time,Number of people
20,85
Time,Number of people
21,87
Time,Number of people
21,52
Time,Number of people
22,14
Time,Number of people
22,0
Time,Number of people
23,0
Time,Number of people
23,0
Time,Number of people
24,0
Time,Number of people
24,0
Time,Number of people
1,0
Time,Number of people
1,0
Time,Number of people
2,0
Time,Number of people
2,0
Time,Number of people
3,0
Time,Number of people
3,0
Time,Number of people
4,0
Time,Number of people
4,0
Time,Number of people
5,0
Time,Number of people
5,0
Time,Number of people
6,22
Time,Number of people
6,38
Time,Number of people
7,44
Time,Number of people
7,39
Time,Number of people
8,25
Time,Number of people
8,22
Time,Number of people
9,29
Time,Number of people
9,26
Time,Number of people
10,33
Time,Number of people
10,45
Time,Number of people
11,53
Time,Number of people
11,57
Time,Number of people
12,57
Time,Number of people
12,45
Time,Number of people
13,47
Time,Number of people
13,51
Time,Number of people
14,53
Time,Number of people
14,58
Time,Number of people
15,53
Time,Number of people
15,37
Time,Number of people
16,31
Time,Number of people
16,32
Time,Number of people
17,57
Time,Number of people
17,60
Time,Number of people
18,88
Time,Number of people
18,98
Time,Number of people
19,84
Time,Number of people
19,89
Time,Number of people
20,90
Time,Number of people
20,67
Time,Number of people
21,67
Time,Number of people
21,27
Time,Number of people
22,0
Time,Number of people
22,0
Time,Number of people
23,0
Time,Number of people
23,0
Time,Number of people
24,0
Time,Number of people
24,0
