Time,Number of people
06:07:46,0
Time,Number of people
06:38:12,17
Time,Number of people
07:08:13,38
Time,Number of people
07:38:13,47
Time,Number of people
08:08:15,46
Time,Number of people
08:38:15,39
Time,Number of people
09:08:16,36
Time,Number of people
10:55:06,27
Time,Number of people
11:25:12,29
Time,Number of people
11:55:28,42
Time,Number of people
12:25:29,51
Time,Number of people
12:55:31,53
Time,Number of people
13:25:31,46
Time,Number of people
13:55:32,39
Time,Number of people
17:41:59,72
Time,Number of people
18:12:00,105
