,Time,Number of people
0,16:27:02,101
,Time,Number of people
0,16:27:13,101
Time,Number of people
16:28:33,101
Time,Number of people
16:28:43,101
Time,Number of people
16:46:28,117
Time,Number of people
18:07:09,115
Time,Number of people
18:21:24,100
Time,Number of people
18:48:11,115
Time,Number of people
18:49:50,109
Time,Number of people
18:49:50,109
Time,Number of people
18:49:50,109
Time,Number of people
18:49:50,109
Time,Number of people
18:49:50,109
Time,Number of people
18:49:50,109
Time,Number of people
18:49:50,109
Time,Number of people
19:21:47,105
Time,Number of people
18:49:50,109
Time,Number of people
19:21:47,105
Time,Number of people
18:49:50,109
Time,Number of people
19:21:47,105
Time,Number of people
18:49:50,109
Time,Number of people
19:21:47,105
Time,Number of people
18:49:50,109
Time,Number of people
19:21:47,105
Time,Number of people
18:49:50,109
Time,Number of people
19:51:08,113
Time,Number of people
19:51:17,113
Time,Number of people
19:21:47,105
Time,Number of people
20:43:19,68
Time,Number of people
20:43:34,68
Time,Number of people
20:43:50,68
Time,Number of people
20:44:05,68
Time,Number of people
20:44:21,68
Time,Number of people
21,3
Time,Number of people
21,3
